batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
5,3,som original - ☆🕸,bpd,askyomomabme,261399,6,44000,4046,-1
5,4,Simple Pleasantries - Arthur Benson,"breathalyzer, breathalyzertest",stephenmakesvideos,202600,498,4095,145,-1
5,5,original sound - Xen EHarvey,"fortnite, fortnitetournament, fortniteskins, fortnitetips, fortnitetipsandtricks, fortnitefunny",eharveyy,101300,5355,14900,10600,-1
5,6,original sound - 𝐀,"lelepons, horror, horrormovie, scarymovie, dumbfunny",alm3d1n11_,928600,14700,139200,21300,-1
5,7,original sound - Hǝnx,"macro, controller, xbox, fn, fyp, foryoupage, viral",bxndit.xl,61000,1777,10200,2085,-1
5,8,original sound - nore,"fyp, foryoupage, fy, f, viral, ifuggedyodaddy, mom, table, relatable, contrnt",ifuggedyodaddy,53800,234,4955,274,-1
5,9,original sound - Darkpuffyy,fyp,._pamm,170500,1397,6495,293,-1
5,10,Fortnite - Battle Royale - Original Main Theme - Geek Music,foryou,rebirus,520400,3431,48300,7585,-1
5,11,original sound - Thelolpodcast,,thelolpodcast,27500,91,1807,15,-1
5,12,original sound - Barstool Sports,"@itgirl_, @therealsethsleasman",barstoolsports,903800,3322,63000,10700,-1
5,13,2 Phones - Kevin Gates,,toefiddler1001,33900,145,2744,279,-1
5,14,son original - Yac2ineeee,"fyp, foryou, viral, fortnite, wembley",officialdietrich,1900000,2459,148800,4089,-1
5,15,nhạc nền - Cileca,"funnyvideos, funny, cute, fyb",neznudvtcal,81600,2096,15400,3443,-1
5,16,original sound - Iccyyyrm,"edit, montage, twins, rizz, sidemen, ksi, deji, viral, fyp, funny",iccyyyrm9,166600,241,22000,728,-1
5,17,original sound - Daniel Padilla,"freecomedy, unbanthemanniishow, themannii, @padeeyuhh",the_mannii,36200,331,4138,321,-1
5,18,original sound - ShieTalii,shietalii,shietaliii,176200,4770,13800,11200,-1
5,19,original sound - Gase Does Tech,"keyboard, event, gamingsetup, upgradingsetup, techtok, fyp, foryoupage, viral",gase.does.tech,260300,3443,37700,6776,-1
5,20,original sound - ItsPapiDiego,"fortnite, fortniteclips, fortnitememes, fortnitebr, fortnitefunny, papidiego, fortnitechapter5",itspapidiego,18000,215,3966,787,-1
5,21,0.1 milissegundos - Emprisionaveis,"fyp%E3%82%B7, fyp, ant5m, makemefamous, gamertiktok, fortnite, fortniteclips, fortnitepro, viral, gamer, egirl, clips, cute, boys, girls",ant5m,197800,6390,29100,6466,-1
5,22,original sound - p.a.i.n_h.u_b,,recoverwithfay,32600,160,3832,89,-1
5,23,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,242800,2436,30100,716,-1
5,24,original sound - Kriss&Esme,"grwmroutine, grwmforschool, grwm, sweatpantseason, grwmmakeup",krissleos,270300,1645,20400,312,-1
5,25,Ava - Famy,"hair, hairstyle, best, hairmenstyle, barber, fyp",misterminds_,656300,1914,59400,1504,-1
5,26,Goofy ahh Coral Chorus - thatoneguy,"fyp, fortnite, xolynxyy",xolynxyy,233400,1737,30700,3869,-1
5,27,original sound - conzy✝️,"fyppppppppppppppppppppppp, conzy_4k, virall, dogs, xyzbca, dontletthisflop, fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, fy, fypppppppppppppp, blowthisup, blowup, ninjaturtles, ratatouille, capcut_edit",conzy_4k,703400,2036,98100,23800,-1
5,28,original sound - ੈ✩‧₊˚,"greenscreen, fyp, fyp%E3%82%B7",maddied333_,171300,1038,5763,174,-1
